name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
MORICO,4.6,1030,Món ăn Nhật Bản,Vô tình ghé quán ăn nhưng thật bất ngờ với chất lượng món ăn ở đây.,"Vincom Center, 70-72 Lê Thánh Tôn",10.7772086,106.7017762,0.63,"71, Lê Thánh Tôn, Saigon, Ho Chi Minh City, HC 71006, Vietnam"
Hải Sản Hoàng Gia CN Lý Tự Trọng Quận 1,4.5,907,Nhà hàng,Đây là chi nhánh mình thấy ngon nhất của Hoàng Gia nha 🥰.,37 Lý Tự Trọng,10.77930475,106.70244531731296,1.0,"Chung cư 37 Lý Tự Trọng, 37, Ly Tu Trong Street, Saigon, Ho Chi Minh City, 71006, Vietnam"
Dynasty House (Phùng Khắc Khoan),4.5,415,Nhà hàng,"Món ăn vừa đủ ăn 😂 khá vừa miệng, nhiều phong cách.",40 Phùng Khắc Khoan,10.785603,106.696833,0.5,"40, Phùng Khắc Khoan, Ho Chi Minh City, HC, Vietnam"
Ovenmaru Chicken,4.3,882,Món ăn Hàn Quốc,Quán gà phong cách hàn nhưng được nêm nếm theo khẩu vị Việt Nam.,187 Điện Biên Phủ,10.7990029,106.7055206,0.75,"187, Điện Biên Phủ, Gia Dinh, Ho Chi Minh City, 72200, Vietnam"
The Gangs Đa Kao,4.3,2000,Thịt nướng,"Quán đẹp, đồ ăn ngon, nhiều loại đồ uống.",32 Mạc Đĩnh Chi,10.7864088,106.6977179,1.0,"32, Mạc Đĩnh Chi, Saigon, Ho Chi Minh City, HC 71006, Vietnam"
Bún Đậu Cô Khàn,3.6,1226,Quán ăn nhỏ,"Bún đậu ngon xĩu lun á hỏng biết nói gì lun, mình đi nhóm 7 người.",102/26 Đ. Cống Quỳnh,10.767601,106.686822,0.405,"Hẻm 256 Đường Cống Quỳnh, Ho Chi Minh City, HC, Vietnam"
Layla - Eatery & Bar,4.8,4968,Quán bar,"Quán dễ thương, nước ngon, view đẹp, chill lắm nhé.","Second floor, 63 Đông Du",10.7760349,106.704642,0.675,"63, Đông Du, Saigon, Ho Chi Minh City, 71006, Vietnam"
Hẻm Ăn Vặt 76,3.8,1367,Khu ăn uống,". . . nhiều quán, đủ để thỏa mãn 1 cơn thèm ăn chính cũng như.",76 Hai Bà Trưng,10.7778959,106.7036141,1.0,"76, Hai Bà Trưng, Ho Chi Minh City, HC, Vietnam"
Sushi Tony - Quán ăn Nhật Bản,4.5,661,Sushi,Quán có nhà vệ sinh view bao đẹp của hẻm Phó Đức Chính.,219 Nguyễn Công Trứ,10.7680048,106.7006366,1.0,"219, Nguyễn Công Trứ, Ho Chi Minh City, HC, Vietnam"
Quán Mì Quảng Mỹ Sơn,3.8,597,Quán mì,"Mì quảng ngon, các loại topping đều được ướp đậm đà vừa vị.",38B Đinh Tiên Hoàng,10.7866006,106.7015992,0.7124999999999999,"38, Đinh Tiên Hoàng, Saigon, Ho Chi Minh City, 71006, Vietnam"
Quán ăn Đồn Đất,3.8,159,Nhà hàng,"It is ancient Vietnamese traditional food á : Bao tử, Lòng heo, Bắp bò.",92A Mạc Đĩnh Chi,10.783888639519532,106.70041278226536,0.5,"92a, Mạc Đĩnh Chi, Saigon, Ho Chi Minh City, 71006, Vietnam"
Hua Wu Lou - Dimsum Street Chi Nhánh 2 - 83B Bùi Thị Xuân,3.9,535,Nhà hàng,"Menu quán đa dạng, giá cả hợp lí, dimsum ngon, nước chấm rất vừa miệng.",83B Bùi Thị Xuân,10.7682523,106.6868828,0.95,"Nhà Hàng Dì Năm Sa Đéc, 83D, Bùi Thị Xuân, Ho Chi Minh City, HC 70200, Vietnam"
Buffet Liberty Central Saigon Riverside,4.3,209,Nhà hàng,"Quán thoáng, sạch sẽ, đồ ăn tươi, nóng, view nhìn cảng tàu.",17 Tôn Đức Thắng,10.7740769,106.70626204068084,1.0,"Liberty Central Hotel, 17, Tôn Ðức Thắng, Saigon, Ho Chi Minh City, 71006, Vietnam"
Hủ tiếu Mỹ Tho Thanh Xuân - Hủ Tiếu Quận 1,4.0,707,Quán ăn nhỏ,Hủ tiếu vừa miệng có thêm sữa đậu nành và bánh pate choud nữa.,62 Đ. Tôn Thất Thiệp,10.77388349120162,106.70306731856364,0.5,"62, Ton That Thiep Street, Saigon, Ho Chi Minh City, 71006, Vietnam"
